Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Doang,Chrome 126.0.0.0,,,27-06-2024 10:14:32,27-06-2024 10:14:42,9.769s,PASSED
,,,,,,,
Test Cases/Login,Chrome 126.0.0.0,,,27-06-2024 10:14:32,27-06-2024 10:14:42,9.652s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 10:14:32,27-06-2024 10:14:34,1.836s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,27-06-2024 10:14:34,27-06-2024 10:14:38,4.368s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,27-06-2024 10:14:38,27-06-2024 10:14:39,0.401s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/a _Login""))",Chrome 126.0.0.0,,,27-06-2024 10:14:39,27-06-2024 10:14:40,0.749s,PASSED
"setText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 10:14:40,27-06-2024 10:14:40,0.737s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 10:14:40,27-06-2024 10:14:41,0.381s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 10:14:41,27-06-2024 10:14:42,1.002s,PASSED
