Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Doang,Chrome 126.0.0.0,,,27-06-2024 10:38:29,27-06-2024 10:38:41,12.082s,PASSED
,,,,,,,
Test Cases/Login,Chrome 126.0.0.0,,,27-06-2024 10:38:29,27-06-2024 10:38:41,11.903s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 10:38:29,27-06-2024 10:38:33,3.188s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,27-06-2024 10:38:33,27-06-2024 10:38:37,4.651s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,27-06-2024 10:38:37,27-06-2024 10:38:38,0.422s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/a _Login""))",Chrome 126.0.0.0,,,27-06-2024 10:38:38,27-06-2024 10:38:39,1.156s,PASSED
"setText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 10:38:39,27-06-2024 10:38:40,0.659s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 10:38:40,27-06-2024 10:38:40,0.394s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 10:38:40,27-06-2024 10:38:41,1.132s,PASSED
